ano,rodada,mandante,visitante,gols_mandante,gols_visitante
2023,1,Atlético-MG,Flamengo,2,0
2023,1,São Paulo,Atlético-MG,0,0
2023,1,América-MG,Atlético-MG,2,1
2023,1,Fluminense,Atlético-MG,2,4
2023,1,Cruzeiro,Atlético-MG,0,1
2023,1,Vasco,Atlético-MG,3,1
2023,1,Goiás,Atlético-MG,2,1
2023,1,Fortaleza,Atlético-MG,1,1
2023,1,Athletico-PR,Atlético-MG,1,2
2023,1,Grêmio,Atlético-MG,4,4
2023,2,São Paulo,Flamengo,1,0
2023,2,Goiás,Flamengo,2,1
2023,2,América-MG,Flamengo,4,1
2023,2,Fluminense,Flamengo,2,2
2023,2,Cruzeiro,Flamengo,2,3
2023,2,Atlético-MG,Grêmio,0,2
2023,2,Vasco,Flamengo,2,0
2023,2,Grêmio,Flamengo,1,1
2023,2,Fortaleza,Flamengo,2,1
2023,2,Athletico-PR,Flamengo,2,1
2023,3,Fluminense,Grêmio,2,0
2023,3,Athletico-PR,Grêmio,2,0
2023,3,Grêmio,Internacional,0,0
2023,3,Fortaleza,Grêmio,4,1
2023,3,Vasco,Grêmio,1,0
2023,3,Cruzeiro,Grêmio,0,0
2023,3,Goiás,Grêmio,1,2
2023,3,Atlético-MG,Internacional,1,1
2023,3,São Paulo,Grêmio,0,2
2023,3,América-MG,Grêmio,1,2
2023,4,Cruzeiro,Internacional,3,0
2023,4,Atlético-MG,São Paulo,0,1
2023,4,América-MG,Internacional,3,0
2023,4,Vasco,Internacional,2,1
2023,4,Fortaleza,Internacional,4,0
2023,4,Grêmio,São Paulo,0,2
2023,4,Athletico-PR,Internacional,2,0
2023,4,Goiás,Internacional,1,2
2023,4,São Paulo,Internacional,3,2
2023,4,Fluminense,Internacional,0,1
2023,5,Atlético-MG,Palmeiras,2,1
2023,5,Goiás,São Paulo,1,0
2023,5,Athletico-PR,São Paulo,1,0
2023,5,Vasco,São Paulo,2,1
2023,5,Cruzeiro,São Paulo,0,0
2023,5,Fortaleza,São Paulo,1,3
2023,5,América-MG,São Paulo,2,3
2023,5,Grêmio,Palmeiras,0,1
2023,5,Fluminense,São Paulo,2,1
2023,5,São Paulo,Palmeiras,1,1
2023,6,Grêmio,Fluminense,4,1
2023,6,América-MG,Palmeiras,2,0
2023,6,Cruzeiro,Palmeiras,6,2
2023,6,Vasco,Palmeiras,1,1
2023,6,Fortaleza,Palmeiras,2,1
2023,6,Athletico-PR,Palmeiras,5,0
2023,6,Fluminense,Palmeiras,0,1
2023,6,São Paulo,Fluminense,0,0
2023,6,Atlético-MG,Fluminense,2,1
2023,6,Goiás,Palmeiras,2,2
2023,7,São Paulo,Botafogo,1,0
2023,7,Fluminense,Botafogo,1,1
2023,7,Goiás,Fluminense,0,2
2023,7,Atlético-MG,Botafogo,1,1
2023,7,Cruzeiro,Fluminense,1,1
2023,7,Vasco,Fluminense,1,0
2023,7,Athletico-PR,Fluminense,2,0
2023,7,Fortaleza,Fluminense,0,0
2023,7,América-MG,Fluminense,2,2
2023,7,Grêmio,Botafogo,1,0
2023,8,Fluminense,Vasco,0,1
2023,8,Atlético-MG,Vasco,1,0
2023,8,América-MG,Botafogo,0,2
2023,8,Vasco,Botafogo,2,2
2023,8,Cruzeiro,Botafogo,2,0
2023,8,Athletico-PR,Botafogo,1,0
2023,8,Grêmio,Vasco,2,2
2023,8,Fortaleza,Botafogo,2,1
2023,8,São Paulo,Vasco,0,0
2023,8,Goiás,Botafogo,3,1
2023,9,São Paulo,Corinthians,0,1
2023,9,Goiás,Vasco,3,2
2023,9,América-MG,Vasco,0,2
2023,9,Grêmio,Corinthians,0,2
2023,9,Athletico-PR,Vasco,2,2
2023,9,Fortaleza,Vasco,1,1
2023,9,Cruzeiro,Vasco,2,0
2023,9,Vasco,Corinthians,3,6
2023,9,Fluminense,Corinthians,0,1
2023,9,Atlético-MG,Corinthians,1,1
2023,10,Grêmio,Athletico-PR,0,2
2023,10,América-MG,Corinthians,1,3
2023,10,Vasco,Athletico-PR,2,1
2023,10,Athletico-PR,Corinthians,2,3
2023,10,Fortaleza,Corinthians,1,2
2023,10,Cruzeiro,Corinthians,3,1
2023,10,Fluminense,Athletico-PR,2,1
2023,10,São Paulo,Athletico-PR,2,0
2023,10,Atlético-MG,Athletico-PR,0,1
2023,10,Goiás,Corinthians,1,3
2023,11,Goiás,Athletico-PR,0,0
2023,11,São Paulo,Bragantino,1,1
2023,11,Atlético-MG,Bragantino,2,1
2023,11,Fluminense,Bragantino,0,1
2023,11,América-MG,Athletico-PR,4,1
2023,11,Fortaleza,Athletico-PR,1,3
2023,11,Athletico-PR,Bragantino,5,0
2023,11,Grêmio,Bragantino,1,0
2023,11,Cruzeiro,Athletico-PR,1,0
2023,11,Vasco,Bragantino,1,1
2023,12,Cruzeiro,Bragantino,0,1
2023,12,Vasco,Fortaleza,1,2
2023,12,América-MG,Bragantino,0,0
2023,12,Athletico-PR,Fortaleza,1,1
2023,12,Fortaleza,Bragantino,2,1
2023,12,Grêmio,Fortaleza,3,0
